Process_ID,Process_Name,Department,Task_Name,Duration_Hours,Cost_USD,Responsible,Status,Start_Date,End_Date,Error_Rate
876,Software Development,Marketing,Screen Candidates,6,516,John Black,Completed,2023-12-30,2023-12-30 06:00:00,4.782623682077198
968,Product Launch,Finance,Job Posting,10,230,John Green,In Progress,2023-03-13,,9.818280479252525
649,Invoice Processing,HR,Product Design,7,539,Charlie Black,In Progress,2023-12-13,,2.6419326841665516
983,Customer Onboarding,IT,Product Design,11,561,Jane Brown,Completed,2023-12-16,2023-12-16 11:00:00,5.151688776569127
546,Software Development,Finance,Initial Contact,20,740,John Green,In Progress,2023-07-13,,5.391027497165802
334,Employee Recruitment,Sales,Receive Invoice,7,252,Alice Smith,Completed,2023-12-08,2023-12-08 07:00:00,6.163097206453116
122,Software Development,Marketing,Approve Invoice,12,1128,Alice Black,In Progress,2023-01-12,,0.6182426131597296
681,Software Development,Finance,Product Design,19,190,Charlie Brown,Completed,2023-08-30,2023-08-30 19:00:00,9.601293735828806
13,Software Development,Marketing,Receive Invoice,15,570,Charlie Smith,In Progress,2023-04-25,,5.402588851662237
435,Invoice Processing,HR,Market Research,7,259,Charlie Brown,In Progress,2023-04-05,,2.682978703126444
899,Invoice Processing,HR,Requirements Gathering,15,585,John Black,Completed,2023-07-30,2023-07-30 15:00:00,2.8176782181818827
582,Software Development,Sales,Approve Invoice,12,720,Jane Green,Pending,2023-02-18,,4.035951984277131
936,Invoice Processing,IT,Launch Campaign,8,264,John Green,Completed,2023-01-11,2023-01-11 08:00:00,0.1992661033552301
293,Employee Recruitment,Finance,Market Research,15,1485,Alice Smith,Pending,2023-10-14,,7.554001566076028
449,Invoice Processing,Finance,Receive Invoice,3,84,Alex Black,Completed,2023-05-15,2023-05-15 03:00:00,4.88820747412725
975,Customer Onboarding,HR,Product Design,20,440,John Doe,In Progress,2023-06-23,,7.075375608787424
758,Customer Onboarding,Finance,Conduct Interviews,4,208,Bob Brown,Pending,2023-07-02,,4.6766358920469475
475,Software Development,IT,Receive Invoice,2,176,Charlie Smith,Completed,2023-11-05,2023-11-05 02:00:00,9.549332872382799
796,Product Launch,Sales,Screen Candidates,5,345,Bob Green,In Progress,2023-11-26,,6.990786922216936
877,Software Development,Finance,Collect Documents,13,1092,John Brown,Completed,2023-10-17,2023-10-17 13:00:00,7.682602450299214
762,Invoice Processing,Sales,Product Design,5,315,Alex Brown,In Progress,2023-01-14,,4.167099323377876
668,Customer Onboarding,IT,Product Design,6,546,Charlie Green,Pending,2023-09-22,,2.8820065784065307
832,Customer Onboarding,Finance,Review Documents,17,884,Charlie Brown,Pending,2023-09-09,,2.1974463924492262
375,Software Development,Finance,Screen Candidates,5,70,Bob Black,In Progress,2023-08-25,,9.909680812825485
575,Product Launch,Marketing,Coding,12,204,Alice Doe,Pending,2023-07-22,,6.741404202073523
355,Product Launch,Marketing,Launch Campaign,20,1620,Alice White,Completed,2023-09-30,2023-09-30 20:00:00,1.1300455476681226
427,Customer Onboarding,IT,Collect Documents,12,588,Bob White,Completed,2023-10-30,2023-10-30 12:00:00,5.006797225905604
443,Invoice Processing,IT,Testing,16,960,Bob Brown,Pending,2023-06-23,,3.9428159246263874
379,Software Development,Finance,Collect Documents,6,564,Alice Green,In Progress,2023-05-26,,6.263659915003989
803,Invoice Processing,Sales,Screen Candidates,18,1440,Charlie Black,In Progress,2023-03-27,,9.710644253508562
979,Product Launch,Finance,Launch Campaign,11,517,Alice Doe,In Progress,2023-09-30,,0.3359028772738526
